eventType,eventTime,symbol,newClientOrderId,side,orderType,quantity,price,orderId,orderTime,lastTradeQuantity,totalTradeQuantity,priceLastTrade,commission,commissionAsset,tradeId,isBuyerMaker,creationTime,totalQuoteTradeQuantity,_id
executionReport,1:55:32 PM,DOGEUSD,TBPDmTO18QiG3sMdYUnISt,SELL,LIMIT,277.00000000,0.1806,112160453,1:55:32 PM,277.00000000,277.00000000,0.1806,0.00012131,BNB,13841992,true,1:55:31 PM,50.0262,wArYAEzh1ZsDG2Tf
executionReport,1:09:50 PM,DOGEUSD,jFh0IF1y1uFlzLLVmvSYRo,SELL,LIMIT,275.00000000,0.1818,112140117,1:09:50 PM,275.00000000,275.00000000,0.1818,0.00012133,BNB,13840689,true,1:09:49 PM,49.9950,wF8cgLamijLAQdnD
executionReport,1:34:50 AM,DOGEUSD,8j5ec1eNEoxf9xiqCTpmpg,SELL,LIMIT,264.00000000,0.1892,111487306,1:34:50 AM,264.00000000,264.00000000,0.1892,0.00012698,BNB,13820591,true,1:34:43 AM,49.9488,wIcTLzSVEg02R6Ar
executionReport,8:47:24 AM,DOGEUSD,INUb1M2kHbTItwK9Gk91Xm,SELL,LIMIT,266.00000000,0.1882,112055199,8:47:24 AM,266.00000000,266.00000000,0.1882,0.00012213,BNB,13836399,true,8:47:17 AM,50.0612,wJ99oe55cxXoZ5ts
executionReport,9:25:35 AM,DOGEUSD,TzKwg58YWZ4N2Z2g9cvnm2,BUY,LIMIT,266.00000000,0.1877,112055478,9:25:35 AM,266.00000000,266.00000000,0.1877,0.00012182,BNB,13836863,true,8:47:43 AM,49.9282,wKjLRxGYSuuw58W4
executionReport,11:54:24 PM,DOGEUSD,pU7uOZL2zAJXWzol5wQYJp,SELL,LIMIT,237.00000000,0.2114,110418229,11:54:24 PM,237.00000000,237.00000000,0.2114,0.00011969,BNB,13783589,true,11:54:22 PM,50.1018,wLuc67vFk35IV06E
executionReport,12:25:00 PM,DOGEUSD,Py2tnutfB9wdmaJCP1Nk71,BUY,LIMIT,242.00000000,0.2059,110868408,12:25:00 PM,242.00000000,242.00000000,0.2059,0.00011795,BNB,13795568,true,12:16:10 PM,49.8278,wUx44jOs7TtNYuxO
executionReport,5:03:17 AM,DOGEUSD,FSCyJSgdbnTPZeRQ0aHIeV,SELL,LIMIT,253.00000000,0.1979,117269350,5:03:17 AM,253.00000000,253.00000000,0.1979,0.00012456,BNB,14074315,true,5:03:11 AM,50.0687,wVoZKT33M8Hprg63
executionReport,9:45:26 AM,DOGEUSD,3nJJWGi88TfWnIOFM4N9tz,BUY,LIMIT,248.00000000,0.2017,111686430,9:45:26 AM,248.00000000,248.00000000,0.2017,0.00012132,BNB,13825509,true,9:44:59 AM,50.0216,wc5jguTVzOcPOujr
executionReport,9:52:59 PM,DOGEUSD,NkH4ZllcWCAxZaT1aKztKs,BUY,LIMIT,292.00000000,0.1711,112670011,9:52:59 PM,292.00000000,292.00000000,0.1711,0.00012474,BNB,13864108,true,7:41:16 PM,49.9612,wfCtV8s4UFyiE1sY
